instruction,employee,tasks,today,output
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-02-09""}, {""title"": ""Payroll verification"", ""status"": ""pending"", ""dueDate"": ""2026-02-05""}, {""title"": ""Vendor contract upload"", ""status"": ""pending"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}, {""title"": ""Onboarding documentation"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-01-30""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-29""}, {""title"": ""Vendor contract upload"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}, {""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-01-30""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-02-02""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-01-31""}, {""title"": ""Policy review"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-06""}, {""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-01-30""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Audit preparation"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-28""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-01-29""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-02""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-02""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-31""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}, {""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}, {""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-02""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Vendor contract upload"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-09""}, {""title"": ""Audit preparation"", ""status"": ""pending"", ""dueDate"": ""2026-01-31""}, {""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-31""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-02-09""}, {""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-02-02""}, {""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Onboarding documentation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-03""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-02""}, {""title"": ""Onboarding documentation"", ""status"": ""completed"", ""dueDate"": ""2026-01-26""}, {""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Vendor contract upload"", ""status"": ""pending"", ""dueDate"": ""2026-01-24""}, {""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Vendor contract upload"", ""status"": ""pending"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-01-27""}, {""title"": ""Audit preparation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}, {""title"": ""Policy review"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-01-30""}, {""title"": ""Payroll verification"", ""status"": ""pending"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-02-02""}, {""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}, {""title"": ""Onboarding documentation"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-01""}, {""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-02""}, {""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-30""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-01-29""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-31""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-03""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-01-27""}, {""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-01-28""}, {""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-02-03""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}, {""title"": ""Exit clearance"", ""status"": ""pending"", ""dueDate"": ""2026-02-06""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}, {""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-02-08""}, {""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-26""}, {""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-02-08""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-01-24""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-02-03""}, {""title"": ""Policy review"", ""status"": ""pending"", ""dueDate"": ""2026-02-05""}, {""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-08""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-09""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-01-26""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Payroll verification"", ""status"": ""pending"", ""dueDate"": ""2026-02-07""}, {""title"": ""Audit preparation"", ""status"": ""pending"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Policy review"", ""status"": ""pending"", ""dueDate"": ""2026-01-30""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-01-30""}, {""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Policy review"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-27""}, {""title"": ""Compliance filing"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-30""}, {""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-07""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-02-01""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-01-26""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Policy review"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-06""}, {""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-02-02""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-24""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Audit preparation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-07""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Onboarding documentation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-26""}, {""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-03""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-04""}, {""title"": ""Onboarding documentation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-29""}, {""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-24""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Payroll verification"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Audit preparation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-30""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Onboarding documentation"", ""status"": ""completed"", ""dueDate"": ""2026-02-04""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-01""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}, {""title"": ""Compliance filing"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Attendance reconciliation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-29""}, {""title"": ""Audit preparation"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-06""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Vendor contract upload"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-27""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Policy review"", ""status"": ""completed"", ""dueDate"": ""2026-01-26""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-31""}, {""title"": ""Audit preparation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-29""}, {""title"": ""Audit preparation"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-29""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-02-08""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-02-03""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-30""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Policy review"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-09""}, {""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-04""}, {""title"": ""Policy review"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-26""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Payroll verification"", ""status"": ""pending"", ""dueDate"": ""2026-02-03""}, {""title"": ""Onboarding documentation"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-01-31""}, {""title"": ""Policy review"", ""status"": ""completed"", ""dueDate"": ""2026-01-29""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Exit clearance"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed"", ""dueDate"": ""2026-01-28""}, {""title"": ""Attendance reconciliation"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-02-03""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,jp,"[{""title"": ""Exit clearance"", ""status"": ""pending"", ""dueDate"": ""2026-02-04""}, {""title"": ""Payroll verification"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-09""}, {""title"": ""Audit preparation"", ""status"": ""pending"", ""dueDate"": ""2026-02-02""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,tamil,"[{""title"": ""Appraisal data entry"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-01""}, {""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-01-28""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,venu,"[{""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-01-31""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,suba,"[{""title"": ""Vendor contract upload"", ""status"": ""pending"", ""dueDate"": ""2026-02-08""}, {""title"": ""Exit clearance"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-04""}, {""title"": ""Payroll verification"", ""status"": ""completed"", ""dueDate"": ""2026-01-24""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,vishali,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,yuvaraj,"[{""title"": ""Policy review"", ""status"": ""pending"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,aruna,"[{""title"": ""Appraisal data entry"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,ak,"[{""title"": ""Onboarding documentation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-06""}, {""title"": ""Policy review"", ""status"": ""pending"", ""dueDate"": ""2026-02-09""}, {""title"": ""Appraisal data entry"", ""status"": ""completed"", ""dueDate"": ""2026-01-29""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,Arun,"[{""title"": ""Vendor contract upload"", ""status"": ""completed"", ""dueDate"": ""2026-01-27""}, {""title"": ""Onboarding documentation"", ""status"": ""in-progress"", ""dueDate"": ""2026-02-05""}, {""title"": ""Policy review"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,arun kumar,"[{""title"": ""Compliance filing"", ""status"": ""in-progress"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bala,"[{""title"": ""Exit clearance"", ""status"": ""completed"", ""dueDate"": ""2026-01-25""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,abdul,"[{""title"": ""Vendor contract upload"", ""status"": ""pending"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,bharath waj,"[{""title"": ""Policy review"", ""status"": ""completed"", ""dueDate"": ""2026-02-03""}, {""title"": ""Onboarding documentation"", ""status"": ""completed"", ""dueDate"": ""2026-02-07""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
Analyze HRMS state and summarize risks,kanimozhi,"[{""title"": ""Audit preparation"", ""status"": ""completed"", ""dueDate"": ""2026-01-23""}]",2026-02-04,"Task status indicates potential delivery, dependency, or compliance risk requiring review."
